name, numplayers, avg(number_of_turns), stddev (number_of_turns), variance (number_of_turns), min(number_of_turns), max(number_of_turns)
NewBiggestFirst, 1, 13.6060000000000000, 4.3646745759175981, 19.0503841536614646, 4, 43
NewBiggestFirst, 2, 13.5536000000000000, 4.5778622436976221, 20.9568227222722272, 4, 67
NewBiggestFirst, 3, 13.5537333333333333, 4.6948676425469431, 22.0417821810342912, 2, 112
Replacement, 1, 13.7320000000000000, 5.7286388366843713, 32.8173029211684674, 4, 90
Replacement, 2, 14.0606000000000000, 8.9347809526069024, 79.8303106710671067, 4, 306
Replacement, 3, 14.5298000000000000, 14.0464704528271257, 197.3033321821454764, 2, 845
Tunnels, 1, 14.0240000000000000, 4.3210754074733327, 18.6716926770708283, 5, 46
Tunnels, 2, 14.1084000000000000, 4.4066757674160591, 19.4187913191319132, 4, 43
Tunnels, 3, 14.1327333333333333, 4.4283355645901237, 19.6101558726137298, 2, 48
